id,text,metadata
0,"When your child is sick, you want information about their condition. TheTogether by St. Jude™ online resource helps you find what you need. We provide information you can understand to support you. Learn more about childhood and adolescent cancer, blood disorders, and other serious childhood illnesses.
Blood Disorders
Childhood Cancers
Infectious Diseases","{'source_url': 'https://together.stjude.org/en-us/conditions.html', 'retrieved_at': '2025-09-29T20:33:25.887058', 'title': 'Conditions - Together by St. Jude™', 'section': 'Find information about pediatric conditions', 'super_section': None}"
1,"Understanding CancerCancer is a disease of abnormal cell growth. In cancer, the signals that control cell growth don’t work properly. Learn how cancer grows and spreads.
Cancer is a disease of abnormal cell growth. In cancer, the signals that control cell growth don’t work properly. Learn how cancer grows and spreads.
About Blood DisordersBlood disorders are medical conditions that affect one or more parts of the blood. Learn about blood disorders and how they are treated.
Blood disorders are medical conditions that affect one or more parts of the blood. Learn about blood disorders and how they are treated.
Teens&20s - Together by St. Jude™Cancer may affect your life, but it doesn’t have to define you. Learn more about dealing with cancer during your teen and young adult years.","{'source_url': 'https://together.stjude.org/en-us/conditions.html', 'retrieved_at': '2025-09-29T20:33:25.887058', 'title': 'Conditions - Together by St. Jude™', 'section': 'Featured resources', 'super_section': None}"
2,"Cancer may affect your life, but it doesn’t have to define you. Learn more about dealing with cancer during your teen and young adult years.
Video LibraryListen to hopeful thoughts, medical explanations, and practical advice from families and care teams facing childhood and adolescent cancer, blood disorders, and other serious illnesses.
Listen to hopeful thoughts, medical explanations, and practical advice from families and care teams facing childhood and adolescent cancer, blood disorders, and other serious illnesses.
For Parents and CaregiversCaring for a child with a serious disease can be challenging. Find resources to support physical, emotional, social, and spiritual well-being.","{'source_url': 'https://together.stjude.org/en-us/conditions.html', 'retrieved_at': '2025-09-29T20:33:25.887058', 'title': 'Conditions - Together by St. Jude™', 'section': 'Featured resources', 'super_section': None}"
3,"Caring for a child with a serious disease can be challenging. Find resources to support physical, emotional, social, and spiritual well-being.
How to Prevent InfectionChildren with serious illnesses can be more vulnerable to infections. Learn more about ways you can protect your child.
Children with serious illnesses can be more vulnerable to infections. Learn more about ways you can protect your child.","{'source_url': 'https://together.stjude.org/en-us/conditions.html', 'retrieved_at': '2025-09-29T20:33:25.887058', 'title': 'Conditions - Together by St. Jude™', 'section': 'Featured resources', 'super_section': None}"
4,Learn how theTogether by St. Jude™ online resource continues expanding to support more families facing serious childhood illnesses worldwide.,"{'source_url': 'https://together.stjude.org/en-us/conditions.html', 'retrieved_at': '2025-09-29T20:33:25.887058', 'title': 'Conditions - Together by St. Jude™', 'section': 'Together for Families Worldwide', 'super_section': None}"
5,"Find information about types of blood disorders in children and adolescents. Learn about conditions such as sickle cell disease and illnesses that affect bone marrow, bleeding, and blood clotting. Discover how to help manage and support young patients with these serious health issues.
Alpha Thalassemia Trait
Anemia
Aplastic Anemia
Autoimmune Hemolytic Anemia (AIHA)
Beta Thalassemia Trait
Dysfibrinogenemia
Fanconi Anemia
G6PD Deficiency
Hemoglobin C Trait
Hemoglobin D Trait
Hemoglobin E Trait
Hemolytic Anemia
Hemophilia
Hereditary Persistence of Fetal Hemoglobin
Hereditary Spherocytosis
Immune Thrombocytopenia (ITP)
Iron-Deficiency Anemia
Myelodysplastic Syndromes
Pancytopenia
Qualitative Platelet Disorders
Sickle Cell Disease
Sickle Cell Trait
Thrombocytopenia","{'source_url': 'https://together.stjude.org/en-us/conditions/blood-disorders.html', 'retrieved_at': '2025-09-29T20:33:26.176225', 'title': 'Blood Disorders - Together by St. Jude™', 'section': 'Types of blood disorders in children and adolescents', 'super_section': None}"
6,"Sickle Cell Disease
Sickle Cell Trait
Thrombocytopenia
Thrombotic Thrombocytopenic Purpura (TTP)
Von Willebrand Disease","{'source_url': 'https://together.stjude.org/en-us/conditions/blood-disorders.html', 'retrieved_at': '2025-09-29T20:33:26.176225', 'title': 'Blood Disorders - Together by St. Jude™', 'section': 'Types of blood disorders in children and adolescents', 'super_section': None}"
7,"About Blood Disorders
Blood Disorder Diagnosis
Transition to Adult Care
Blood Disorder Treatments
Blood Disorder Medicines and Medicine Management
Blood Disorder Symptoms and Side Effects
Blood Disorder Tests
Blood Disorder Procedures
Inherited Risk and Genetic Testing for Blood Disorders","{'source_url': 'https://together.stjude.org/en-us/conditions/blood-disorders.html', 'retrieved_at': '2025-09-29T20:33:26.176225', 'title': 'Blood Disorders - Together by St. Jude™', 'section': 'Learn about blood disorders in children and adolescents', 'super_section': None}"
8,Kenneth and Tornisha Allen say sickle cell disease should not overwhelm your life.,"{'source_url': 'https://together.stjude.org/en-us/conditions/blood-disorders.html', 'retrieved_at': '2025-09-29T20:33:26.176225', 'title': 'Blood Disorders - Together by St. Jude™', 'section': ""'Keep a Close Eye'"", 'super_section': None}"
9,"Aplastic anemia is a rare blood disorder that occurs when bone marrow does not make enough blood cells. It is a type of bone marrow failure.
Bone marrow has blood-forming stem cells that become red blood cells, white blood cells, and platelets.
Bone marrowis the soft, spongy tissue at the center of your bones. Stem cells in the bone marrow make new blood cells includingred blood cells,white blood cells, andplatelets.
Most often, all 3 types of blood cells are affected (pancytopenia). This causes:
Low red blood cells, which carry oxygen (anemia)
Low white blood cells, which fight infections (leukopenia orneutropenia)
Low platelets, which help the blood to clot and stop bleeding (thrombocytopenia)","{'source_url': 'https://together.stjude.org/en-us/conditions/blood-disorders/aplastic-anemia.html', 'retrieved_at': '2025-09-29T20:33:26.371774', 'title': 'Aplastic Anemia - Together by St. Jude™', 'section': 'What is aplastic anemia?', 'super_section': None}"
