id,text,metadata
0,"Family Commons is a treatment-free zone open only to patients and families. This space has been designed to nurture the mind, body, and soul. Leaving clinical areas behind, you’ll find areas ranging from quiet nooks to lively playgrounds. Get a haircut, attend to business, paint a picture, take a nap, or grab a snack—Family Commons has it all.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons.html', 'retrieved_at': '2025-09-29T19:06:49.610467', 'title': 'Family Commons - St. Jude Children’s Research Hospital', 'section': 'Welcome to Family Commons, a space created just for patients and families.', 'super_section': None}"
1,"We want to promote healthy relationships and respect for the Family Commons space. Our Guiding Principles help everyone understand the expectations for both families and staff.
When I am in the Family Commons, I will be mindful of my actions and words. I will show RESPECT to everyone. I will also RESPECT the Family Commons guidelines.
Family Commons is a place to rest, be together, and have FUN. I will help make Family Commons a FUN place. It is a friendly space where people like to be together.
In this COMMUNITY, I can share my experiences, knowledge, resources, and skills with others. I understand that we must build this COMMUNITY together. This creates a sense of belonging for everyone. We are here for each other.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons.html', 'retrieved_at': '2025-09-29T19:06:49.610467', 'title': 'Family Commons - St. Jude Children’s Research Hospital', 'section': 'Family Commons Guiding Principles', 'super_section': None}"
2,"I want Family Commons to be SAFE. I will help keep this space SAFE by following Family Commons guidelines. I will use my experience, skills, and ideas to promote SAFETY.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons.html', 'retrieved_at': '2025-09-29T19:06:49.610467', 'title': 'Family Commons - St. Jude Children’s Research Hospital', 'section': 'Family Commons Guiding Principles', 'super_section': None}"
3,Casual CareCasual Care allows caregivers to take some time for themselves. Staff in this space provide safe and supervised care for children ages 3–10 for up to 2 hours.,"{'source_url': 'https://www.stjude.org/patient-experience/family-commons.html', 'retrieved_at': '2025-09-29T19:06:49.610467', 'title': 'Family Commons - St. Jude Children’s Research Hospital', 'section': 'More from Family Commons', 'super_section': None}"
4,"Casual Care allows caregivers to take some time for themselves. Staff in this space provide safe and supervised care for children ages 3–10 for up to 2 hours.
Common AreasCommon Areas include Inside Out (Play Areas), The Hangout, Event Center, In the Know area, Linda R. Hajar Family Resource Center, the What's Up (Pop-Up Space), and Sacred Space.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons.html', 'retrieved_at': '2025-09-29T19:06:49.610467', 'title': 'Family Commons - St. Jude Children’s Research Hospital', 'section': 'Casual Care', 'super_section': None}"
5,"Common Areas include Inside Out (Play Areas), The Hangout, Event Center, In the Know area, Linda R. Hajar Family Resource Center, the What's Up (Pop-Up Space), and Sacred Space.
Common TableIn partnership withSt. JudeFood Services, Common Table offers snacks, soft drinks, and grab-and-go foods. You can use your meal account to buy items, using your child’s medical record number.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons.html', 'retrieved_at': '2025-09-29T19:06:49.610467', 'title': 'Family Commons - St. Jude Children’s Research Hospital', 'section': 'Common Areas', 'super_section': None}"
6,"In partnership withSt. JudeFood Services, Common Table offers snacks, soft drinks, and grab-and-go foods. You can use your meal account to buy items, using your child’s medical record number.
Creative SpacesFamily Commons offers many opportunities to be creative. Patients and families can engage their artistic side through music, crafts, and art.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons.html', 'retrieved_at': '2025-09-29T19:06:49.610467', 'title': 'Family Commons - St. Jude Children’s Research Hospital', 'section': 'Common Table', 'super_section': None}"
7,"Family Commons offers many opportunities to be creative. Patients and families can engage their artistic side through music, crafts, and art.
Housing and Patient ServicesHousing and Patient Services arranges all patient housing and support services while families stay inSt. Judehousing facilities. This department also provides services for families whose patients are receiving care.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons.html', 'retrieved_at': '2025-09-29T19:06:49.610467', 'title': 'Family Commons - St. Jude Children’s Research Hospital', 'section': 'Creative Spaces', 'super_section': None}"
8,"Housing and Patient Services arranges all patient housing and support services while families stay inSt. Judehousing facilities. This department also provides services for families whose patients are receiving care.
Learning Your Way AroundFamily Commons is a treatment-free zone open only to patients and families.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons.html', 'retrieved_at': '2025-09-29T19:06:49.610467', 'title': 'Family Commons - St. Jude Children’s Research Hospital', 'section': 'Housing and Patient Services', 'super_section': None}"
9,"Family Commons is a treatment-free zone open only to patients and families.
Resting NooksIn the middle of a busy day, Resting Nooks offer a quiet, private place for patients and families. You can check in to a nook to relax between appointments.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons.html', 'retrieved_at': '2025-09-29T19:06:49.610467', 'title': 'Family Commons - St. Jude Children’s Research Hospital', 'section': 'Learning Your Way Around', 'super_section': None}"
10,"In the middle of a busy day, Resting Nooks offer a quiet, private place for patients and families. You can check in to a nook to relax between appointments.
School ProgramAs part of the health care team, the School Program provides opportunities for students to continue their normal educational experiences. The program also helps students get appropriate educational services in their community schools.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons.html', 'retrieved_at': '2025-09-29T19:06:49.610467', 'title': 'Family Commons - St. Jude Children’s Research Hospital', 'section': 'Resting Nooks', 'super_section': None}"
11,"As part of the health care team, the School Program provides opportunities for students to continue their normal educational experiences. The program also helps students get appropriate educational services in their community schools.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons.html', 'retrieved_at': '2025-09-29T19:06:49.610467', 'title': 'Family Commons - St. Jude Children’s Research Hospital', 'section': 'School Program', 'super_section': None}"
12,"Coping with a child’s diagnosis, illness, and treatment can be challenging. Now there’s a way to connect with others who face similar issues.Caregiver Connectionsgroups are designed just for you.
These groups provide:
A spot to meet and connect with otherSt. Judefamilies
Tips and information for navigating illness and treatment
Methods to manage stress, fear, and fatigue
A chance to learn from other people's stories and share your own
Support from licensed social workers and caregiver mentors
A friendly circle of comfort, community, and care
Sessions are for adult caregivers only, except for Mindful Moments, which includes patients 8 years old and up. Children over 12 months old should not attend other sessions.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/caregiver-connections.html', 'retrieved_at': '2025-09-29T19:06:49.947342', 'title': 'Caregiver Connections - St. Jude Children’s Research Hospital', 'section': 'Caregiver Connections - St. Jude Children’s Research Hospital', 'super_section': None}"
13,"Sessions are held every Wednesday at 3 p.m. in the Family Commons Event Center.
A special session is also held on the first Tuesday of every month at 3 p.m. to welcome new caregivers toSt. Jude.
Caregiver Connections sessions are for adult caregivers only.
EmailErica Sirrineto learn more.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/caregiver-connections.html', 'retrieved_at': '2025-09-29T19:06:49.947342', 'title': 'Caregiver Connections - St. Jude Children’s Research Hospital', 'section': 'Caregiver Connections: In-person groups', 'super_section': None}"
14,"Sessions are open to adult caregivers of hematology patients.
Sessions are open to adult caregivers of hematology patients.
Sessions are led by a hematology social worker and hematology parent mentor.
Sessions are led by a hematology social worker and hematology parent mentor.
You must be physically located in Tennessee, Mississippi, or Arkansas at the time of the session to join.
You must be physically located in Tennessee, Mississippi, or Arkansas at the time of the session to join.
Register on theOurSt. Judeapp Patient Events Calendar – Social Events tab.
EmailAmanda Pullento learn more.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/caregiver-connections.html', 'retrieved_at': '2025-09-29T19:06:49.947342', 'title': 'Caregiver Connections - St. Jude Children’s Research Hospital', 'section': 'Hematology Caregiver Connections:\xa0 Online groups', 'super_section': None}"
15,"Mindful Moments sessions are open for patients (ages 8 and up) and caregivers.
Sessions are held the 1st and 3rd Wednesday of each month at 11 a.m. in the Family Commons Sacred Space.
Sessions are held the 1st and 3rd Wednesday of each month at 11 a.m. in the Family Commons Sacred Space.
Join us for a time of peace and learn mindfulness skills together. EmailMargery JohnsonorElizabeth Hawkinsto learn more.
Connecting with other caregivers can help you find and share hope, meaning, comfort, and support. Joining a group or going to a session can help you meet people, make friends, and learn new ways to cope. Please join us in Family Commons for Caregiver Connections and Mindful Moments … and tell others.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/caregiver-connections.html', 'retrieved_at': '2025-09-29T19:06:49.947342', 'title': 'Caregiver Connections - St. Jude Children’s Research Hospital', 'section': 'Mindful Moments', 'super_section': None}"
16,Sometimes kids need a place to be kids. And caregivers need to be able to sit and watch. The play areas were created for all ages with this in mind. The indoor area is designed to fit the small and active bodies and minds of toddlers and younger kids. The outdoor area offers a chance to get fresh air and relax on comfortable patio furniture.,"{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:50.304038', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'INSIDE OUT (Play Areas)', 'super_section': None}"
17,"Located across from the inside play area, older kids can enjoy a space just for them. Riser seating and comfortable chairs make this area ideal for kids to hang out while still within view of caregivers.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:50.304038', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'The HANGOUT', 'super_section': None}"
18,"The Event Center hosts activities just for patients and families. The Patient and Family Advisory Committee and family educational and support groups meet here. Scheduled activities, discussions, and demonstrations for families can all happen in this area. Visit the Family Commons coordinators in the Family Resource Center for more information on using this room.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:50.304038', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'EVENT CENTER', 'super_section': None}"
19,"The In the Know area offers opportunities for caregivers to mentor, advise, and connect with each other. Check out the interactive map for a list of places to visit in Memphis. Employees in this area also offer help with technical issues such as network connections, app usage, andSt. JudeMyChart troubleshooting.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:50.304038', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'IN THE KNOW', 'super_section': None}"
20,"Families need a way to take care of online tasks or stay connected. This area offers computer workstations, printers, and enclosed booths where families can take calls or meetings. The Tech Share Program is also located in this area. This program provides electronic devices on a temporary basis. Families can use the devices during their time at the hospital.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:50.304038', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'LINDA R. HAJAR FAMILY RESOURCE CENTER', 'super_section': None}"
21,"Centrally located, this small, open area is full of surprises. Exciting one-time activities “pop up” in this space on a regular basis. The activities may be fun or flashy, artsy, or active…but if you wait too long, they’re gone.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:50.304038', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'WHAT’S UP (Pop-Up Space)', 'super_section': None}"
22,"St. JudeSpiritual Care Services aims to meet the spiritual, religious, and emotional needs of patients and families, without regard to race, gender, beliefs, or religion. This space offers a place of quiet reflection and peace outside the hustle and bustle of the hospital.
Sometimes, it is a peaceful place that invites deep breaths, silence, meditation, and prayer.
Sometimes, it is a busy place as children explore their spiritual curiosity through group and individual activities.
Sometimes, it is a listening place as parents and caregivers find comfort in the compassion of one another.
At all times, it is a place where you are welcome.","{'source_url': 'https://www.stjude.org/patient-experience/family-commons/common-areas.html', 'retrieved_at': '2025-09-29T19:06:50.304038', 'title': 'Common Areas - St. Jude Children’s Research Hospital', 'section': 'SACRED SPACE', 'super_section': None}"
