,text,metadata
0,"Domino's Village Menu Domino's Village Menu Domino's Village Menu Domino's Village Menu Mock-up - Room Service
Meals served Monday through Friday","{'source_url': 'https://na.eventscloud.com/ehome/index.php?eventid=384973&tabid=1245802&is_admin=1', 'retrieved_at': '2025-09-29T20:03:40.949603', 'title': ""Domino's Village Menu"", 'section': ""Domino's Village Menu"", 'super_section': None}"
1,Domino's Village Menu Sunday Domino's Village Menu Sunday Meals only served Monday through Friday.,"{'source_url': 'https://na.eventscloud.com/ehome/index.php?eventid=384973&tabid=1245802&is_admin=1', 'retrieved_at': '2025-09-29T20:03:40.949603', 'title': ""Domino's Village Menu"", 'section': 'Sunday', 'super_section': None}"
2,"Domino's Village Menu Breakfast Domino's Village Menu Breakfast Omelets
Scrambled Eggs
Waffles
Sausage Patties
Turkey Sausage Links
Bacon
Oatmeal
Grits
Hashbrowns","{'source_url': 'https://na.eventscloud.com/ehome/index.php?eventid=384973&tabid=1245802&is_admin=1', 'retrieved_at': '2025-09-29T20:03:40.949603', 'title': ""Domino's Village Menu"", 'section': 'Breakfast', 'super_section': None}"
3,"Domino's Village Menu Lunch Domino's Village Menu Lunch Fajitas- Chicken or Steak
Mexican Rice
Sauteed Vegetables","{'source_url': 'https://na.eventscloud.com/ehome/index.php?eventid=384973&tabid=1245802&is_admin=1', 'retrieved_at': '2025-09-29T20:03:40.949603', 'title': ""Domino's Village Menu"", 'section': 'Lunch', 'super_section': None}"
4,"Domino's Village Menu Dinner Domino's Village Menu Dinner Pot Roast
Herb Crusted Cod
Steamed Rice
Buttered Egg Noodles
Sauté Vegetable Medley
Steamed Broccoli","{'source_url': 'https://na.eventscloud.com/ehome/index.php?eventid=384973&tabid=1245802&is_admin=1', 'retrieved_at': '2025-09-29T20:03:40.949603', 'title': ""Domino's Village Menu"", 'section': 'Dinner', 'super_section': None}"
5,"Domino's Village Menu Breakfast Domino's Village Menu Breakfast Omelets
Scrambled Eggs
Waffles
Sausage Patties
Turkey Sausage Links
Bacon
Oatmeal
Grits
Hashbrowns","{'source_url': 'https://na.eventscloud.com/ehome/index.php?eventid=384973&tabid=1245802&is_admin=1', 'retrieved_at': '2025-09-29T20:03:40.949603', 'title': ""Domino's Village Menu"", 'section': 'Breakfast', 'super_section': None}"
6,"Domino's Village Menu Lunch Domino's Village Menu Lunch Fajitas- Chicken or Steak
Mexican Rice
Sauteed Vegetables","{'source_url': 'https://na.eventscloud.com/ehome/index.php?eventid=384973&tabid=1245802&is_admin=1', 'retrieved_at': '2025-09-29T20:03:40.949603', 'title': ""Domino's Village Menu"", 'section': 'Lunch', 'super_section': None}"
7,"Domino's Village Menu Dinner Domino's Village Menu Dinner Soup: White Bean & Kale, Broccoli Cheddar
Chicken Jerk with Mango Salsa
Baked Salmon Veracruz
Carrots with Raisins & Almonds
Santa Maria Pinto Beans
Plantains
Turnip Greens","{'source_url': 'https://na.eventscloud.com/ehome/index.php?eventid=384973&tabid=1245802&is_admin=1', 'retrieved_at': '2025-09-29T20:03:40.949603', 'title': ""Domino's Village Menu"", 'section': 'Dinner', 'super_section': None}"
8,"Domino's Village Menu Breakfast Domino's Village Menu Breakfast Omelets
Scrambled Eggs
Waffles
Sausage Patties
Turkey Sausage Links
Bacon
Oatmeal
Grits
Hashbrowns","{'source_url': 'https://na.eventscloud.com/ehome/index.php?eventid=384973&tabid=1245802&is_admin=1', 'retrieved_at': '2025-09-29T20:03:40.949603', 'title': ""Domino's Village Menu"", 'section': 'Breakfast', 'super_section': None}"
9,"Domino's Village Menu Lunch Domino's Village Menu Lunch Fajitas- Chicken or Steak
Mexican Rice
Sauteed Vegetables","{'source_url': 'https://na.eventscloud.com/ehome/index.php?eventid=384973&tabid=1245802&is_admin=1', 'retrieved_at': '2025-09-29T20:03:40.949603', 'title': ""Domino's Village Menu"", 'section': 'Lunch', 'super_section': None}"
