id,text,metadata
0,"Your child’s treatment for cancer depends on the type of cancer they have and how advanced it is. Treatments may include chemotherapy, radiation therapy, surgery, targeted therapy, immunotherapy, and stem cell (bone marrow) transplant. Find trusted resources you can understand to help you as you make decisions.
Allogeneic Stem Cell (Bone Marrow) Transplant
Autologous Stem Cell (Bone Marrow) Transplant
Brachytherapy
CAR T-Cell Therapy
Chemotherapy
Immunotherapy
Proton Beam Radiation
Radiation Therapy
Stem Cell Transplant
Surface Guided Radiation Therapy (SGRT)
Surgery
Targeted Therapy","{'source_url': 'https://together.stjude.org/en-us/conditions/cancers/cancer-treatments.html', 'retrieved_at': '2025-09-29T18:09:04.907923', 'title': 'Cancer Treatments   - Together by St. Jude™', 'section': 'Learn about treatments for childhood and adolescent cancers', 'super_section': None}"
1,"TreatmentsTreatments for childhood illnesses include medicine, surgery, radiation, stem cell transplant, immunotherapy, or targeted therapy. Learn about these treatments.
Treatments for childhood illnesses include medicine, surgery, radiation, stem cell transplant, immunotherapy, or targeted therapy. Learn about these treatments.
How Treatments May Affect YouKnowing the facts about treatment and side effects can help you be informed about your care. Get the facts about how treatment works and how it may affect you now and later in life.
Knowing the facts about treatment and side effects can help you be informed about your care. Get the facts about how treatment works and how it may affect you now and later in life.
Video LibraryListen to hopeful thoughts, medical explanations, and practical advice from families and care teams facing childhood and adolescent cancer, blood disorders, and other serious illnesses.
Listen to hopeful thoughts, medical explanations, and practical advice from families and care teams facing childhood and adolescent cancer, blood disorders, and other serious illnesses.","{'source_url': 'https://together.stjude.org/en-us/conditions/cancers/cancer-treatments.html', 'retrieved_at': '2025-09-29T18:09:04.907923', 'title': 'Cancer Treatments   - Together by St. Jude™', 'section': 'Featured resources', 'super_section': None}"
2,A new radiation treatment may treat brain tumors with fewer side effects so patients can function better after treatment.,"{'source_url': 'https://together.stjude.org/en-us/conditions/cancers/cancer-treatments.html', 'retrieved_at': '2025-09-29T18:09:04.907923', 'title': 'Cancer Treatments   - Together by St. Jude™', 'section': 'Research Spotlight', 'super_section': None}"
3,"Managing symptoms and side effects is important to your child’s recovery and well-being. Learn more about cancer symptoms and treatment side effects.
ANC and Neutropenia
Anemia
Avascular Necrosis (Osteonecrosis)
Blood Clots
Central Venous Line (Catheter) Complications
Chemo Brain
Constipation
Cytokine Release Syndrome
Dehydration
Delayed Wound Healing
Delirium
Diarrhea
Dysarthria
Excessive Daytime Sleepiness, Hypersomnia, and Narcolepsy
Fatigue
Fever and Signs of Infection
Graft Versus Host Disease
Hair Loss
Hearing Loss
Infertility in Male Cancer and Stem Cell Transplant Patients
Insomnia
Jaundice
Loss of Appetite and Weight Loss
Malignant Hyperthermia
Mouth and Throat Sores
Nausea and Vomiting During Cancer Treatment
Neuropathic Pain
Peripheral Neuropathy
Posterior Fossa Syndrome
Puberty Problems
Restless Legs Syndrome
Risks From Medical Tests and Treatments During Pregnancy
Sensorineural Hearing Loss
Sepsis
Skin Changes
Sleep Apnea
Sleep Disorders
Strabismus
Thrombocytopenia
Trismus
Tumor Lysis Syndrome
Unilateral Hearing Loss
Weight Gain and Obesity in Childhood Cancer Patients","{'source_url': 'https://together.stjude.org/en-us/conditions/cancers/cancer-symptoms-side-effects.html', 'retrieved_at': '2025-09-29T18:09:05.128189', 'title': 'Cancer Symptoms and Side Effects - Together by St. Jude™', 'section': 'Learn about managing your child’s symptoms and side effects', 'super_section': None}"
4,"Coping with Side EffectsSide effects are unintended effects or unwanted symptoms that occur because of medicines or other treatments. Learn how to manage and cope with side effects.
Side effects are unintended effects or unwanted symptoms that occur because of medicines or other treatments. Learn how to manage and cope with side effects.
Pain ManagementPain management is an important part of care for children with cancer or other illnesses. Learn ways to prevent and manage pain.
Pain management is an important part of care for children with cancer or other illnesses. Learn ways to prevent and manage pain.
FatigueFatigue is a feeling of tiredness or lack of energy that does not get better with rest. Learn ways to help your child manage fatigue.
Fatigue is a feeling of tiredness or lack of energy that does not get better with rest. Learn ways to help your child manage fatigue.","{'source_url': 'https://together.stjude.org/en-us/conditions/cancers/cancer-symptoms-side-effects.html', 'retrieved_at': '2025-09-29T18:09:05.128189', 'title': 'Cancer Symptoms and Side Effects - Together by St. Jude™', 'section': 'Featured resources', 'super_section': None}"
5,Learn the signs and symptoms of serious side effects after cancer treatment and the use of PEWS and Proyecto EVAT to improve cancer survival in Latin America.,"{'source_url': 'https://together.stjude.org/en-us/conditions/cancers/cancer-symptoms-side-effects.html', 'retrieved_at': '2025-09-29T18:09:05.128189', 'title': 'Cancer Symptoms and Side Effects - Together by St. Jude™', 'section': 'Learn the Signs of Cancer Treatment Side Effects to Improve Survival', 'super_section': None}"
6,"Children with cancer have many tests and procedures to make a diagnosis, deliver therapy, or monitor response to treatment. Patients may have several different procedures throughout their diagnosis and treatment. Learn more about procedures that children with cancer may have.
Anesthesia
Apheresis for Stem Cell Collection
Biopsy
Blood Transfusion
Bone Marrow Aspiration and Biopsy
Bone Marrow Harvest
Central Line (Central Venous Catheter)
Collecting Cells for CAR T-cell Therapy
Colonoscopy
Cystectomy (Bladder Removal)
Endoscopy in Children and Teens
Epidural Anesthesia
External Ventricular Drain or Shunt
Feeding Tube Placement
Feeding Tubes Placed in Interventional Radiology
Getting an IV
Leukapheresis
Light Therapy for Oral Mucositis
Lumbar Puncture
Nerve Block Injections and Infusions
Ommaya Reservoir (Intraventricular Reservoir)
PICC Line
Peripheral Blood Stem Cell (PBSC) Donation
Photopheresis
Placement of G Tube, GJ Tube, and J Tube
Placement of NG Tube and NJ Tube
Subcutaneous Port
Therapeutic Plasma Exchange
Tonsillectomy, Adenoidectomy, Adenotonsillectomy
Total Body Irradiation (TBI)
Total Lymphatic Irradiation
Tunneled Central Line
Urinary (Foley) Catheters
Venipuncture in Children
Ventriculoperitoneal (VP) Shunt","{'source_url': 'https://together.stjude.org/en-us/conditions/cancers/cancer-procedures.html', 'retrieved_at': '2025-09-29T18:09:05.655323', 'title': 'Cancer Procedures - Together by St. Jude™', 'section': 'Learn about procedures for cancer diagnosis and treatment', 'super_section': None}"
7,"Video LibraryListen to hopeful thoughts, medical explanations, and practical advice from families and care teams facing childhood and adolescent cancer, blood disorders, and other serious illnesses.
Listen to hopeful thoughts, medical explanations, and practical advice from families and care teams facing childhood and adolescent cancer, blood disorders, and other serious illnesses.
Wound CareA wound is an injury that may develop on the skin's surface, under the skin, or both. Learn about wound healing and wound care in children.
A wound is an injury that may develop on the skin's surface, under the skin, or both. Learn about wound healing and wound care in children.
Clinical and Home CareCaring for your child with a serious illness likely means you will need to learn new skills. Learn more about caring for your child.
Caring for your child with a serious illness likely means you will need to learn new skills. Learn more about caring for your child.","{'source_url': 'https://together.stjude.org/en-us/conditions/cancers/cancer-procedures.html', 'retrieved_at': '2025-09-29T18:09:05.655323', 'title': 'Cancer Procedures - Together by St. Jude™', 'section': 'Featured resources', 'super_section': None}"
8,"Childhood cancer survivor Brad Muller, MD, offers tips to help parents support their children during treatment.","{'source_url': 'https://together.stjude.org/en-us/conditions/cancers/cancer-procedures.html', 'retrieved_at': '2025-09-29T18:09:05.655323', 'title': 'Cancer Procedures - Together by St. Jude™', 'section': 'Tips for Parents from a Physician and Survivor', 'super_section': None}"
9,"School is important for your child’s physical, social, emotional, and cognitive development. But if your child has a medical condition or chronic illness, like cancer or a blood disorder, keeping up with school may be hard.
Your child may feel too tired or sick to go to school. Or your child may not be able to attend school in person because of a weak immune system. Even if your child attends school, they may be absent more often because of doctor visits or treatments.
Make a plan for school early in treatment and re-evaluate it regularly.
Keeping up with school can be challenging, but there are strategies to help your child stay engaged in school while managing their illness. Keys to success include:
Ask questions and find resources.
Make a plan.
Keep open communication.
Be your child’s advocate.
Stay positive.","{'source_url': 'https://together.stjude.org/en-us/emotional-support-daily-life/school/school-support-chronic-illness.html', 'retrieved_at': '2025-09-29T18:09:06.181394', 'title': 'School Support During Chronic Illness - Together by St. Jude™', 'section': 'School Support During Chronic Illness - Together by St. Jude™', 'super_section': None}"
