,text,metadata
0,"Treatment begins with diagnosis. Tests provide information about your child’s condition. Doctors use that information to tailor treatment for your child. Learn more about treatments, tests, procedures, medicines, and side effects.
Clinical Trials
Complementary Therapies and Integrative Health
Long-Term and Late Effects of Cancer Treatment
List of Medicines
Procedures
Symptoms and Side Effects
Tests
Treatments","{'source_url': 'https://together.stjude.org/en-us/treatment-tests-procedures.html', 'retrieved_at': '2025-09-29T20:49:06.822363', 'title': 'Treatments, Tests, and Procedures - Together by St. Jude™', 'section': 'Find information about treatments, tests, and procedures', 'super_section': None}"
1,"Wound CareA wound is an injury that may develop on the skin's surface, under the skin, or both. Learn about wound healing and wound care in children.
A wound is an injury that may develop on the skin's surface, under the skin, or both. Learn about wound healing and wound care in children.
ChemotherapyChemotherapy treats cancer using medicines that work by interfering with cells as they divide. Learn more about chemo and how to prepare your child for it.
Chemotherapy treats cancer using medicines that work by interfering with cells as they divide. Learn more about chemo and how to prepare your child for it.","{'source_url': 'https://together.stjude.org/en-us/treatment-tests-procedures.html', 'retrieved_at': '2025-09-29T20:49:06.822363', 'title': 'Treatments, Tests, and Procedures - Together by St. Jude™', 'section': 'Featured resources', 'super_section': None}"
2,"How Treatments May Affect YouKnowing the facts about treatment and side effects can help you be informed about your care. Get the facts about how treatment works and how it may affect you now and later in life.
Knowing the facts about treatment and side effects can help you be informed about your care. Get the facts about how treatment works and how it may affect you now and later in life.","{'source_url': 'https://together.stjude.org/en-us/treatment-tests-procedures.html', 'retrieved_at': '2025-09-29T20:49:06.822363', 'title': 'Treatments, Tests, and Procedures - Together by St. Jude™', 'section': 'Featured resources', 'super_section': None}"
3,"Clinical trials are carefully designed research studies to test therapies or learn more about diseases. Learn about the benefits, risks, and how to enroll your child. Find information on trial phases, safety protocols, and the importance of clinical research in improving children's health outcomes. Discover resources and support to help you make informed decisions about your child's participation.
Questions to Ask the Research Team
Role of Cancer Research
Steps of a Clinical Trial
Taking Part in Clinical Research
Clinical Trials","{'source_url': 'https://together.stjude.org/en-us/treatment-tests-procedures/clinical-trials.html', 'retrieved_at': '2025-09-29T20:49:07.074297', 'title': 'Clinical Trials - Together by St. Jude™', 'section': 'Learn about clinical trials for children', 'super_section': None}"
4,"TreatmentsTreatments for childhood illnesses include medicine, surgery, radiation, stem cell transplant, immunotherapy, or targeted therapy. Learn about these treatments.
Treatments for childhood illnesses include medicine, surgery, radiation, stem cell transplant, immunotherapy, or targeted therapy. Learn about these treatments.
Navigating Health CareLearn how to navigate healthcare with practical information on topics like what to bring to the hospital, medical record access, and how to pay for care.
Learn how to navigate healthcare with practical information on topics like what to bring to the hospital, medical record access, and how to pay for care.","{'source_url': 'https://together.stjude.org/en-us/treatment-tests-procedures/clinical-trials.html', 'retrieved_at': '2025-09-29T20:49:07.074297', 'title': 'Clinical Trials - Together by St. Jude™', 'section': 'Featured resources', 'super_section': None}"
5,"For Parents and CaregiversCaring for a child with a serious disease can be challenging. Find resources to support physical, emotional, social, and spiritual well-being.
Caring for a child with a serious disease can be challenging. Find resources to support physical, emotional, social, and spiritual well-being.","{'source_url': 'https://together.stjude.org/en-us/treatment-tests-procedures/clinical-trials.html', 'retrieved_at': '2025-09-29T20:49:07.074297', 'title': 'Clinical Trials - Together by St. Jude™', 'section': 'Featured resources', 'super_section': None}"
6,A new radiation treatment may treat brain tumors with fewer side effects so patients can function better after treatment.,"{'source_url': 'https://together.stjude.org/en-us/treatment-tests-procedures/clinical-trials.html', 'retrieved_at': '2025-09-29T20:49:07.074297', 'title': 'Clinical Trials - Together by St. Jude™', 'section': 'Research Spotlight', 'super_section': None}"
7,"Scientists and doctors are always looking for better treatments with fewer side effects.
Meeting with your research and care team can be stressful and overwhelming. In many cases, you may have a short amount of time to gather and discuss information. It can help to prepare for these appointments. Go with a plan and have questions ready for your providers.
These tips can help when you and your child meet with members of the research team:
Take a family member or friend along for support. They can also help ask questions or take notes.
Plan what you want to ask ahead of time.
Ask any new questions that you think of while you are there.
Write down questions in advance to make sure you remember to ask them all.","{'source_url': 'https://together.stjude.org/en-us/treatment-tests-procedures/clinical-trials/research-team-questions.html', 'retrieved_at': '2025-09-29T20:49:07.304747', 'title': 'Questions to Ask the Research Team - Together by St. Jude™', 'section': 'Questions to Ask the Research Team - Together by St. Jude™', 'super_section': None}"
8,"Write down questions in advance to make sure you remember to ask them all.
Write down the answers your provider gives. This way, you can review them whenever you want.
Your institution may have aresearch participant advocatewho can talk with you about the research study. They are not part of the research study team. They can talk with you about problems, concerns, and questions related to the study. They will share your input with the research study team and theInstitutional Review Board(IRB). The IRB reviews every new clinical research study before the study starts. Learn abouttaking part in clinical research.","{'source_url': 'https://together.stjude.org/en-us/treatment-tests-procedures/clinical-trials/research-team-questions.html', 'retrieved_at': '2025-09-29T20:49:07.304747', 'title': 'Questions to Ask the Research Team - Together by St. Jude™', 'section': 'Questions to Ask the Research Team - Together by St. Jude™', 'super_section': None}"
9,"What is the purpose of the study?
Why do researchers think this treatment may work?
What other related research has been done with these types of treatments?
Who is providing the funding for this research?
Who has reviewed and approved the study?
How is the study monitored for results and safety?
How long will the study last?
If my child takes part, what will I be responsible for?
What if we decide we don’t want to continue the trial after the study begins?
Can we leave the trial at any point?
How will the trial results be reported? Will I be told?
What information is shared?
How is my child’s information kept confidential?","{'source_url': 'https://together.stjude.org/en-us/treatment-tests-procedures/clinical-trials/research-team-questions.html', 'retrieved_at': '2025-09-29T20:49:07.304747', 'title': 'Questions to Ask the Research Team - Together by St. Jude™', 'section': 'Questions about the clinical trial', 'super_section': None}"
