,text,metadata
0,View the Recreation Directory,"{'source_url': 'https://www.stjude.org/patient-experience/resources-families.html', 'retrieved_at': '2025-09-29T19:29:57.410070', 'title': 'Resources for Families - St. Jude Children’s Research Hospital', 'section': 'Resources for Families - St. Jude Children’s Research Hospital', 'super_section': None}"
1,"Quick Start Guide
Your First Visit
What to Bring
Daily Routines
AboutSt. Jude","{'source_url': 'https://www.stjude.org/patient-experience/resources-families.html', 'retrieved_at': '2025-09-29T19:29:57.410070', 'title': 'Resources for Families - St. Jude Children’s Research Hospital', 'section': 'New toSt. Jude', 'super_section': None}"
2,"Parking on Campus
Shuttle Schedule
School Program
Concierge Services
Interpretive Services
DAISY Award Nomination","{'source_url': 'https://www.stjude.org/patient-experience/resources-families.html', 'retrieved_at': '2025-09-29T19:29:57.410070', 'title': 'Resources for Families - St. Jude Children’s Research Hospital', 'section': 'Campus Life', 'super_section': None}"
3,"Social Work
Spiritual Care Services
Child Life
St. JudeVoice, our Virtual Adviser Community
Clinical Trials Results
St. Judelaunches new TeleHealth","{'source_url': 'https://www.stjude.org/patient-experience/resources-families.html', 'retrieved_at': '2025-09-29T19:29:57.410070', 'title': 'Resources for Families - St. Jude Children’s Research Hospital', 'section': 'Resources for Families', 'super_section': None}"
4,"Patient Rights
Patient Responsibilities
Notice of Privacy Practices (HIPAA)
Important Policies
Consent Forms","{'source_url': 'https://www.stjude.org/patient-experience/resources-families.html', 'retrieved_at': '2025-09-29T19:29:57.410070', 'title': 'Resources for Families - St. Jude Children’s Research Hospital', 'section': 'Privacy & Legal', 'super_section': None}"
5,"Food on CampusFind the menus for Kay Kafe and Starbucks, see what Food Trucks are on campus today, and learn about grocery delivery.","{'source_url': 'https://www.stjude.org/patient-experience/resources-families.html', 'retrieved_at': '2025-09-29T19:29:57.410070', 'title': 'Resources for Families - St. Jude Children’s Research Hospital', 'section': 'More Resources', 'super_section': None}"
6,"Find the menus for Kay Kafe and Starbucks, see what Food Trucks are on campus today, and learn about grocery delivery.
Education and SupportFind information on Diagnosis and Treatment, Support for Families, Clinical Guidelines, and a Video Library.","{'source_url': 'https://www.stjude.org/patient-experience/resources-families.html', 'retrieved_at': '2025-09-29T19:29:57.410070', 'title': 'Resources for Families - St. Jude Children’s Research Hospital', 'section': 'Food on Campus', 'super_section': None}"
7,"Find information on Diagnosis and Treatment, Support for Families, Clinical Guidelines, and a Video Library.
ContactsGet phone numbers for all patient clinics and services.","{'source_url': 'https://www.stjude.org/patient-experience/resources-families.html', 'retrieved_at': '2025-09-29T19:29:57.410070', 'title': 'Resources for Families - St. Jude Children’s Research Hospital', 'section': 'Education and Support', 'super_section': None}"
8,Get phone numbers for all patient clinics and services.,"{'source_url': 'https://www.stjude.org/patient-experience/resources-families.html', 'retrieved_at': '2025-09-29T19:29:57.410070', 'title': 'Resources for Families - St. Jude Children’s Research Hospital', 'section': 'Contacts', 'super_section': None}"
9,"As you and your child begin your journey through treatment, we atSt. JudeChildren’s Research Hospital want you to know that you are not alone. We pledge to do all we can to work with you to ensure your child’s health, happiness and well-being.
Your family is an essential part of the care team. This guide provides a brief introduction to the hospital and will help you become an active partner in your child’s care.
St. Judeoffers education materials to help you better understand your child’s care. All of these materials can be helpful, but please know that our staff members are your greatest resource.
We are always happy to answer your questions and help you. We want you to feel that you are part of theSt. Judefamily.","{'source_url': 'https://www.stjude.org/patient-experience/resources-families/quick-start-guide.html', 'retrieved_at': '2025-09-29T19:29:58.026121', 'title': 'Patient and Family Quick Start Guide - St. Jude Children’s Research Hospital', 'section': 'Welcome toSt. Jude', 'super_section': None}"
10,"St. Jude Family of Websites
Explore our cutting edge research, world-class patient care, career opportunities and more.
St. Jude Children's Research Hospital Home
ResearchSt. Jude ResearchProgress: A Digital MagazineResearch & Clinical FacultySt. Jude CloudChildhood Cancer Survivor Study
St. Jude Research
Progress: A Digital Magazine
Research & Clinical Faculty
St. Jude Cloud
Childhood Cancer Survivor Study
CareersCareers at St. JudeHave More in Memphis
Careers at St. Jude
Have More in Memphis
Patient InformationCare & Treatment at St. JudeTogether by St. Jude™ online resourceLong-Term Follow-Up StudySt. Jude LIFE
Care & Treatment at St. Jude
Together by St. Jude™ online resource
Long-Term Follow-Up Study
St. Jude LIFE","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Parking and Construction | St. Jude Care & Treatment', 'super_section': None}"
11,"Together by St. Jude™ online resource
Long-Term Follow-Up Study
St. Jude LIFE
Education & OutreachEducation & Training at St. JudeSt. Jude Graduate School of Biomedical SciencesSt. Jude Global
Education & Training at St. Jude
St. Jude Graduate School of Biomedical Sciences
St. Jude Global
FundraisingGet InvolvedWays to Give
Get Involved
Ways to Give
Menu
Close
Patient & Family ResourcesHow to Seek TreatmentAffiliate ProgramInformation for New PatientsSt. Jude MyChartPatient Family Centered CareFamily CommonsPatient Education ResourcesHow to Request Medical Records
How to Seek Treatment
Affiliate Program
Information for New Patients
St. Jude MyChart
Patient Family Centered Care
Family Commons
Patient Education Resources
How to Request Medical Records","{'source_url': 'https://www.stjude.org/treatment/patient-resources/while-here/parking.html', 'retrieved_at': '2025-09-29T19:29:58.561497', 'title': 'Parking and Construction | St. Jude Care & Treatment', 'section': 'Parking and Construction | St. Jude Care & Treatment', 'super_section': None}"
